"Province/State","Country/Region","Lat","Long","cases","deaths"
"St Martin","France","18.0708","-63.0501","11","0"
"","Portugal","39.3999","-8.2245","3544","60"
"","Argentina","-38.4161","-63.6167","502","9"
"","Russia","60.0","90.0","840","3"
"","Guinea-Bissau","11.8037","-15.1804","2","0"
"","United Kingdom","55.3781","-3.4360000000000004","11658","578"
"","Tunisia","34.0","9.0","197","6"
"","Grenada","12.1165","-61.678999999999995","7","0"
"","Lithuania","55.1694","23.8813","299","4"
"","Ghana","7.9465","-1.0232","132","4"
"Shanxi","China","37.5777","112.2922","135","0"
"","Tanzania","-6.369","34.8888","13","0"
"Jiangxi","China","27.614","115.7221","936","1"
"","Bhutan","27.5142","90.4336","2","0"
"","Belgium","50.8333","4.0","6235","220"
"Tianjin","China","39.3054","117.323","151","3"
"Curacao","Netherlands","12.1696","-68.99","6","1"
"Guadeloupe","France","16.25","-61.5833","73","1"
"","Finland","64.0","26.0","958","5"
"French Polynesia","France","-17.6797","149.4068","30","0"
"","Syria","34.802075","38.996815000000005","5","0"
"","Nicaragua","12.8654","-85.2072","2","0"
"","Moldova","47.4116","28.3699","177","1"
"Hong Kong","China","22.3","114.2","453","4"
"","Ethiopia","9.145","40.4897","12","0"
"","Poland","51.9194","19.1451","1221","16"
"","Peru","-9.19","-75.0152","580","9"
"Beijing","China","40.1824","116.4142","566","8"
"","Pakistan","30.3753","69.3451","1201","9"
"","Jordan","31.24","36.51","212","0"
"Montserrat","United Kingdom","16.7425","-62.1874","5","0"
"","United Arab Emirates","24.0","54.0","333","2"
"","Ecuador","-1.8312","-78.1834","1403","34"
"Nova Scotia","Canada","44.681999999999995","-63.7443","73","0"
"Northern Territory","Australia","-12.4634","130.8456","12","0"
"","Barbados","13.1939","-59.5432","18","0"
"","Iraq","33.0","44.0","382","36"
"","Iran","32.0","53.0","29406","2234"
"","Angola","-11.2027","17.8739","4","0"
"","Netherlands","52.1326","5.2913","7431","434"
"","Suriname","3.9193","-56.0278","8","0"
"","Armenia","40.0691","45.0382","290","1"
"","Slovakia","48.669","19.699","226","0"
"Victoria","Australia","-37.8136","144.9631","520","3"
"Guangxi","China","23.8298","108.7881","254","2"
"North Carolina","US","35.5557","-79.3877","638","2"
"Indiana","US","39.8942","-86.2816","656","18"
"Wyoming","US","42.9957","-107.5512","56","0"
"Utah","US","39.3055","-111.6703","402","1"
"Arizona","US","34.2744","-111.6602","508","8"
"Montana","US","47.0527","-109.6333","90","0"
"Kentucky","US","37.5347","-85.3021","248","5"
"Kansas","US","38.4937","-98.3804","171","3"
"California","US","37.1841","-119.4696","4060","82"
"Florida","US","28.6305","-82.4497","2477","29"
"Delaware","US","38.9896","-75.5050","143","1"
"Pennsylvania","US","40.8781","-77.7996","1690","16"
"Mississippi","US","32.7364","-89.6678","487","6"
"Iowa","US","42.0751","-93.4960","179","1"
"Texas","US","31.4757","-99.3312","1543","21"
"Illinois","US","40.0417","-89.1965","2538","26"
"Connecticut","US","41.6219","-72.7273","1012","21"
"Georgia","US","32.6415","-83.4426","1643","56"
"Virginia","US","37.5215","-78.8537","604","14"
"Maryland","US","39.0550","-76.7909","581","4"
"Idaho","US","44.3509","-114.6130","189","3"
"Vermont","US","44.0687","-72.6658","158","9"
"Oregon","US","43.9336","-120.5583","316","11"
"Puerto Rico","US","18.2","-66.5","64","2"
"Tennessee","US","35.8580","-86.3505","981","3"
"Oklahoma","US","35.5889","-97.4943","248","7"
"Maine","US","45.3695","-69.2428","155","0"
"Alabama","US","32.7794","-86.8287","538","3"
"Arkansas","US","34.8938","-92.4426","351","3"
"Washington","US","47.3826","-120.4472","3208","151"
"South Carolina","US","33.9169","-80.8964","456","9"
"Nebraska","US","41.5378","-99.7951","92","0"
"West Virginia","US","38.6409","-80.6227","76","0"
"Massachusetts","US","42.2596","-71.8083","2417","25"
"Colorado","US","38.9972","-105.5478","1432","24"
"Missouri","US","38.3566","-92.4580","507","8"
"Alaska","US","64.0685","-152.2782","69","0"
"North Dakota","US","47.4501","-100.4659","58","0"
"Wisconsin","US","44.6243","-89.9941","754","10"
"Nevada","US","39.3289","-116.6312","535","10"
"Rhode Island","US","41.6762","-71.5562","165","0"
"New York","US","42.9538","-75.5268","38987","432"
"District of Columbia","US","38.9101","-77.0147","267","3"
"South Dakota","US","44.4443","-100.2263","46","1"
"Hawaii","US","20.2927","-156.3737","106","0"
"Minnesota","US","46.2807","-94.3053","346","2"
"New Jersey","US","40.1907","-74.6728","6876","81"
"Michigan","US","44.3467","-85.4102","2878","63"
"New Mexico","US","34.4071","-106.1126","136","1"
"New Hampshire","US","43.6805","-71.5811","158","1"
"Louisiana","US","31.0689","-91.9968","2305","83"
"Ohio","US","40.2862","-82.7937","867","15"
