Sq.Ki.,Sq.Mi.,State,County
373.5,144.2,Georgia,Glascock
1094,422.4,Georgia,Glynn
919.8,355.2,Georgia,Gordon
1186.6,458.2,Georgia,Grady
1005.9,388.4,Georgia,Greene
1121.1,432.9,Georgia,Gwinnett
720.6,278.2,Georgia,Habersham
1019.6,393.7,Georgia,Hall
1225.9,473.3,Georgia,Hancock
730.8,282.2,Georgia,Haralson
1201.1,463.8,Georgia,Harris
601.5,232.2,Georgia,Hart
766.8,296.1,Georgia,Heard
835.8,322.7,Georgia,Henry
975.9,376.8,Georgia,Houston
924.2,356.8,Georgia,Irwin
886.8,342.4,Georgia,Jackson
959.5,370.5,Georgia,Jasper
863.5,333.4,Georgia,Jeff Davis
1366.7,527.7,Georgia,Jefferson
906.1,349.8,Georgia,Jenkins
788.5,304.4,Georgia,Johnson
1019.9,393.8,Georgia,Jones
478.7,184.8,Georgia,Lamar
483.9,186.8,Georgia,Lanier
2104.7,812.6,Georgia,Laurens
921.5,355.8,Georgia,Lee
1344.5,519.1,Georgia,Liberty
546.8,211.1,Georgia,Lincoln
1038.7,401,Georgia,Long
1306,504.3,Georgia,Lowndes
736.8,284.5,Georgia,Lumpkin
672.9,259.8,Georgia,McDuffie
1122.7,433.5,Georgia,McIntosh
1044.6,403.3,Georgia,Macon
736.7,284.4,Georgia,Madison
950.7,367.1,Georgia,Marion
1303.7,503.4,Georgia,Meriwether
733.1,283.1,Georgia,Miller
1326.2,512,Georgia,Mitchell
1024.8,395.7,Georgia,Monroe
635.5,245.3,Georgia,Montgomery
905.6,349.7,Georgia,Morgan
892.1,344.4,Georgia,Murray
560.2,216.3,Georgia,Muscogee
716,276.4,Georgia,Newton
481.1,185.8,Georgia,Oconee
1142.6,441.1,Georgia,Oglethorpe
812.1,313.6,Georgia,Paulding
391.3,151.1,Georgia,Peach
601.3,232.1,Georgia,Pickens
888.4,343,Georgia,Pierce
565.8,218.4,Georgia,Pike
805.9,311.2,Georgia,Polk
640.8,247.4,Georgia,Pulaski
892.3,344.5,Georgia,Putnam
392.5,151.6,Georgia,Quitman
961.1,371.1,Georgia,Rabun
1111.8,429.3,Georgia,Randolph
839.3,324.1,Georgia,Richmond
338.5,130.7,Georgia,Rockdale
434.1,167.6,Georgia,Schley
1679.7,648.5,Georgia,Screven
616.6,238.1,Georgia,Seminole
512.8,198,Georgia,Spalding
464.3,179.3,Georgia,Stephens
1188.1,458.7,Georgia,Stewart
1257,485.3,Georgia,Sumter
1018.5,393.2,Georgia,Talbot
506.1,195.4,Georgia,Taliaferro
1252.9,483.7,Georgia,Tattnall
977.7,377.5,Georgia,Taylor
1142.6,441.2,Georgia,Telfair
868.9,335.5,Georgia,Terrell
1420.5,548.4,Georgia,Thomas
686.7,265.1,Georgia,Tift
949.8,366.7,Georgia,Toombs
431.3,166.5,Georgia,Towns
519.9,200.7,Georgia,Treutlen
1072.1,413.9,Georgia,Troup
741,286.1,Georgia,Turner
933.4,360.4,Georgia,Twiggs
835.8,322.7,Georgia,Union
843.1,325.5,Georgia,Upson
